type;time;longitude;latitude;altitude (m);speed (km/h);course;name;desc;url
T;06/10/2022 14:27;3.140998330;50.612626670;80.6;22.9;1.6;Passage 5A;;https://play.google.com/store/apps/details?id=com.ilyabogdanovich.geotracker
T;06/10/2022 14:27;3.141188330;50.612641670;79.6;22.5;1.4;;;
T;06/10/2022 14:27;3.141371670;50.612655000;77.3;23.6;1.5;;;
T;06/10/2022 14:27;3.141558330;50.612651670;75.2;23.5;1.5;;;
T;06/10/2022 14:27;3.141738330;50.612660000;72.9;19.7;1.6;;;
T;06/10/2022 14:28;3.141880000;50.612666670;72.2;12.1;1.6;;;
T;06/10/2022 14:28;3.142051670;50.612631670;67.8;11.8;2.5;;;
T;06/10/2022 14:28;3.142136670;50.612518330;67.8;15.7;2.9;;;
T;06/10/2022 14:28;3.142140000;50.612416670;68.1;19.9;3.2;;;
T;06/10/2022 14:28;3.142148330;50.612313330;69.0;18.5;3.1;;;
T;06/10/2022 14:28;3.142161670;50.612215000;69.4;16.5;3.1;;;
T;06/10/2022 14:28;3.142190000;50.612106670;69.6;14.5;2.8;;;
T;06/10/2022 14:28;3.142335000;50.612020000;69.2;15.9;2.1;;;
T;06/10/2022 14:28;3.142500000;50.611988330;69.2;20.7;1.8;;;
T;06/10/2022 14:28;3.142673330;50.611963330;68.7;21.0;1.7;;;
T;06/10/2022 14:28;3.142861670;50.611953330;68.9;20.2;1.7;;;
T;06/10/2022 14:28;3.143033330;50.611948330;69.4;21.8;1.7;;;
T;06/10/2022 14:28;3.143205000;50.611920000;71.1;22.3;1.7;;;
T;06/10/2022 14:28;3.143368330;50.611891670;72.2;22.7;1.7;;;
T;06/10/2022 14:28;3.143545000;50.611873330;72.9;23.3;1.7;;;
T;06/10/2022 14:28;3.143726670;50.611858330;73.7;23.5;1.8;;;
