type;time;longitude;latitude;altitude (m);speed (km/h);course;name;desc;url
T;06/10/2022 14:25;3.143970000;50.611901670;76.4;25.5;4.9;Passage 5B;;https://play.google.com/store/apps/details?id=com.ilyabogdanovich.geotracker
T;06/10/2022 14:25;3.143761670;50.611941670;76.3;23.4;5.0;;;
T;06/10/2022 14:25;3.143561670;50.611956670;76.3;24.2;4.8;;;
T;06/10/2022 14:25;3.143368330;50.611968330;75.6;23.7;4.9;;;
T;06/10/2022 14:25;3.143176670;50.611996670;76.2;22.8;4.8;;;
T;06/10/2022 14:26;3.143008330;50.612008330;75.8;21.6;4.8;;;
T;06/10/2022 14:26;3.142838330;50.612016670;76.0;21.3;4.8;;;
T;06/10/2022 14:26;3.142670000;50.612026670;76.8;22.8;4.8;;;
T;06/10/2022 14:26;3.142510000;50.612055000;76.2;19.9;4.9;;;
T;06/10/2022 14:26;3.142363330;50.612081670;75.1;16.3;5.1;;;
T;06/10/2022 14:26;3.142250000;50.612156670;76.8;15.3;5.8;;;
T;06/10/2022 14:26;3.142270000;50.612293330;77.4;20.8;0.1;;;
T;06/10/2022 14:26;3.142285000;50.612383330;78.5;18.4;0.1;;;
T;06/10/2022 14:26;3.142286670;50.612480000;79.1;10.4;6.3;;;
T;06/10/2022 14:26;3.142376670;50.612591670;79.0;15.1;0.3;;;
T;06/10/2022 14:26;3.142333330;50.612678330;80.7;13.1;5.7;;;
T;06/10/2022 14:26;3.142148330;50.612695000;80.6;14.0;4.4;;;
T;06/10/2022 14:26;3.141985000;50.612668330;81.1;18.6;4.6;;;
T;06/10/2022 14:26;3.141801670;50.612665000;81.7;21.6;4.7;;;
T;06/10/2022 14:26;3.141616670;50.612663330;81.9;22.6;4.7;;;
T;06/10/2022 14:26;3.141435000;50.612668330;81.2;21.7;4.7;;;
T;06/10/2022 14:26;3.141253330;50.612668330;80.4;21.0;4.7;;;
